iter	Passed	Remaining
0	399	399461
1	402	200726
2	404	134293
3	405	101080
4	412	81988
5	414	68634
6	416	59042
7	422	52445
8	425	46808
9	427	42290
10	428	38560
11	430	35456
12	463	35191
13	465	32819
14	471	30934
15	473	29102
16	475	27470
17	476	26019
18	478	24720
19	480	23547
20	487	22717
21	489	21755
22	491	20868
23	492	20048
24	494	19301
25	497	18630
26	499	17992
27	505	17560
28	508	17024
29	510	16501
30	512	16009
31	513	15547
32	516	15121
33	522	14845
34	524	14465
35	526	14102
36	528	13757
37	530	13428
38	533	13152
39	553	13291
40	555	12993
41	557	12711
42	559	12443
43	561	12193
44	562	11944
45	572	11864
46	574	11650
47	577	11448
48	585	11356
49	587	11163
50	589	10967
51	591	10776
52	593	10600
53	602	10546
54	604	10379
55	606	10221
56	608	10067
57	614	9981
58	616	9834
59	618	9687
60	620	9550
61	622	9414
62	623	9279
63	630	9214
64	632	9093
65	634	8985
66	637	8882
67	645	8844
68	646	8729
69	649	8626
70	652	8542
71	654	8439
72	659	8377
73	661	8277
74	663	8179
75	665	8086
76	667	7996
77	669	7917
78	678	7909
79	681	7841
80	684	7765
81	686	7686
82	693	7663
83	695	7584
84	697	7508
85	699	7432
86	701	7359
87	707	7333
88	710	7274
89	712	7203
90	714	7137
91	716	7070
92	721	7035
93	723	6975
94	725	6911
95	727	6850
96	729	6792
97	731	6736
98	738	6725
99	740	6665
100	742	6609
101	746	6570
102	754	6567
103	756	6514
104	759	6471
105	761	6425
106	763	6370
107	768	6349
108	770	6297
109	772	6250
110	774	6199
111	778	6171
112	785	6165
113	787	6122
114	789	6074
115	790	6026
116	792	5982
117	794	5938
118	797	5907
119	799	5864
120	801	5820
121	802	5775
122	804	5736
123	810	5729
124	813	5692
125	814	5650
126	815	5607
127	817	5570
128	826	5577
129	827	5538
130	829	5504
131	832	5473
132	833	5435
133	836	5405
134	838	5369
135	839	5335
136	842	5305
137	843	5269
138	845	5234
139	851	5232
140	853	5200
141	854	5165
142	856	5135
143	860	5117
144	868	5122
145	871	5096
146	872	5064
147	874	5032
148	875	5001
149	881	4994
150	884	4970
151	885	4942
152	887	4912
153	888	4882
154	890	4853
155	892	4828
156	895	4807
157	897	4782
158	899	4756
159	901	4731
160	902	4701
161	904	4676
162	906	4652
163	914	4661
164	917	4643
165	920	4624
166	922	4599
167	927	4595
168	930	4574
169	932	4551
170	934	4528
171	935	4503
172	936	4478
173	940	4465
174	942	4443
175	944	4420
176	945	4398
177	948	4379
178	949	4356
179	951	4333
180	952	4310
181	958	4309
182	960	4287
183	962	4266
184	963	4243
185	964	4221
186	965	4199
187	967	4178
188	968	4157
189	973	4151
190	975	4130
191	977	4111
192	978	4092
193	980	4072
194	981	4052
195	983	4032
196	986	4021
197	988	4003
198	990	3986
199	991	3966
200	993	3948
201	994	3929
202	996	3911
203	997	3892
204	998	3873
205	1005	3873
206	1006	3855
207	1007	3837
208	1009	3819
209	1010	3801
210	1011	3783
211	1013	3766
212	1014	3748
213	1016	3734
214	1021	3731
215	1023	3715
216	1030	3719
217	1032	3704
218	1035	3692
219	1037	3677
220	1044	3683
221	1046	3668
222	1048	3654
223	1050	3640
224	1052	3625
225	1054	3611
226	1061	3614
227	1063	3600
228	1065	3585
229	1066	3572
230	1068	3558
231	1075	3561
232	1078	3548
233	1080	3536
234	1082	3524
235	1085	3512
236	1087	3501
237	1089	3488
238	1091	3475
239	1095	3468
240	1102	3472
241	1111	3481
242	1118	3485
243	1120	3473
244	1123	3463
245	1125	3450
246	1134	3458
247	1138	3452
248	1140	3439
249	1142	3428
250	1148	3428
251	1151	3417
252	1153	3404
253	1154	3391
254	1159	3386
255	1161	3374
256	1163	3362
257	1164	3350
258	1166	3337
259	1168	3325
260	1177	3333
261	1179	3321
262	1181	3309
263	1183	3298
264	1185	3287
265	1196	3301
266	1199	3293
267	1205	3291
268	1207	3280
269	1209	3269
270	1211	3258
271	1213	3247
272	1215	3237
273	1222	3239
274	1224	3228
275	1226	3217
276	1229	3207
277	1230	3197
278	1237	3199
279	1264	3251
280	1273	3259
281	1275	3247
282	1277	3236
283	1279	3225
284	1281	3215
285	1285	3209
286	1288	3201
287	1290	3191
288	1293	3181
289	1299	3180
290	1303	3175
291	1308	3172
292	1310	3162
293	1313	3153
294	1315	3144
295	1317	3134
296	1319	3124
297	1326	3125
298	1329	3117
299	1333	3111
300	1335	3102
301	1343	3104
302	1345	3094
303	1349	3088
304	1359	3098
305	1362	3089
306	1364	3080
307	1367	3072
308	1371	3067
309	1374	3059
310	1376	3050
311	1381	3047
312	1383	3037
313	1388	3033
314	1390	3024
315	1392	3014
316	1396	3008
317	1406	3017
318	1414	3018
319	1418	3013
320	1423	3011
321	1426	3002
322	1428	2993
323	1430	2984
324	1441	2993
325	1443	2984
326	1453	2991
327	1456	2984
328	1461	2980
329	1470	2984
330	1475	2981
331	1477	2972
332	1484	2974
333	1491	2973
334	1493	2964
335	1500	2965
336	1502	2956
337	1504	2947
338	1506	2938
339	1508	2929
340	1514	2927
341	1516	2917
342	1517	2907
343	1519	2897
344	1520	2887
345	1522	2877
346	1524	2868
347	1529	2865
348	1531	2856
349	1533	2848
350	1535	2838
351	1537	2830
352	1539	2821
353	1546	2821
354	1548	2813
355	1550	2804
356	1551	2795
357	1554	2786
358	1560	2786
359	1562	2777
360	1564	2769
361	1566	2760
362	1568	2751
363	1570	2743
364	1577	2745
365	1579	2736
366	1582	2728
367	1584	2720
368	1586	2712
369	1594	2715
370	1597	2707
371	1599	2699
372	1601	2692
373	1608	2691
374	1609	2682
